x_mm,y_mm,z_mm,layer,kind,species,riparian,height_mm,slope_mm_per_m,dist_water_mm,standing_water_mm,treeline_delta_mm
-220887980,-96662287,127,0,rock,blowhole,0,2600,46,-1,0,4946861
-220895876,-96536088,1057,0,rock,blowhole,0,2600,33,-1,0,4945931
-221018637,-96722983,883,1,tree,coast-palm,0,10000,40,-1,0,4946105
-221013010,-96720581,1040,1,tree,monterey-cypress,0,12000,28,-1,0,4945948
-221008071,-96723582,1295,1,rock,reef-flat-pavement,0,3000,17,-1,0,4945693
-221001312,-96721644,1386,1,tree,maritime-pine,0,20000,11,-1,0,4945602
-220974637,-96723463,975,1,tree,casuarina,0,15000,37,-1,0,4946013
-220935948,-96722975,606,1,tree,coast-palm,0,10000,30,-1,0,4946382
-220909239,-96720489,739,1,rock,coral-rubble-bank,0,1800,35,-1,0,4946249
-220894935,-96724025,713,1,rock,oyster-reef-bank,0,2000,41,-1,0,4946275
-220847016,-96720008,-94,1,rock,lava-tube-bench,0,3400,13,-1,94,4947082
-220835619,-96723026,-178,1,rock,coral-rubble-bank,0,1800,20,-1,178,4947166
-220820885,-96721502,451,1,rock,chalk-cliff-foot,0,2800,38,-1,0,4946537
-220812720,-96724098,692,1,tree,casuarina,0,15000,41,-1,0,4946296
-220793167,-96720565,946,1,rock,beachrock-slab,0,2200,21,-1,0,4946042
-220787418,-96721586,993,1,tree,casuarina,0,15000,12,-1,0,4945995
-220766129,-96720362,1117,1,tree,casuarina,0,15000,37,-1,0,4945871
-221029438,-96719518,450,1,rock,coral-rubble-bank,0,1800,39,-1,0,4946538
-221020446,-96715234,692,1,rock,reef-flat-pavement,0,3000,38,-1,0,4946296
-221002827,-96716542,1433,1,rock,beachrock-slab,0,2200,11,-1,0,4945555
-220982453,-96718854,1476,1,rock,boulder-beach,0,3000,29,-1,0,4945512
-220924279,-96719968,375,1,rock,coquina-shell-rock,0,1400,27,-1,0,4946613
-220916746,-96719554,490,1,rock,lava-tube-bench,0,3400,33,-1,0,4946498
-220878801,-96717065,589,1,tree,casuarina,0,15000,49,-1,0,4946399
-220835778,-96715101,-250,1,rock,submerged-granite-boulder,0,1600,27,-1,250,4947238
-220812043,-96715925,509,1,rock,oyster-reef-bank,0,2000,40,-1,0,4946479
-220796765,-96719021,926,1,tree,maritime-pine,0,20000,25,-1,0,4946062
-220782646,-96719892,1433,1,tree,coast-palm,0,10000,10,-1,0,4945555
-220775042,-96716085,1306,1,rock,boulder-beach,0,3000,21,-1,0,4945682
-221020215,-96710225,785,1,rock,beachrock-slab,0,2200,37,-1,0,4946203
-221018697,-96714537,794,1,tree,maritime-pine,0,20000,35,-1,0,4946194
-220959101,-96713825,608,1,tree,maritime-pine,0,20000,18,-1,0,4946380
-220951656,-96713202,781,1,tree,coast-palm,0,10000,15,-1,0,4946207
-220901028,-96714346,875,1,tree,casuarina,0,15000,19,-1,0,4946113
-220875017,-96712636,348,1,rock,coquina-shell-rock,0,1400,47,-1,0,4946640
-220873913,-96712718,107,1,tree,casuarina,0,15000,46,-1,0,4946881
-220869176,-96712233,316,1,tree,monterey-cypress,0,12000,48,-1,0,4946672
-220848395,-96714772,-239,1,rock,submerged-granite-boulder,0,1600,18,-1,239,4947227
-220804633,-96711158,758,1,rock,beachrock-slab,0,2200,32,-1,0,4946230
-220791674,-96712866,955,1,rock,oyster-reef-bank,0,2000,13,-1,0,4946033
-220789946,-96714228,1063,1,tree,maritime-pine,0,20000,12,-1,0,4945925
-221023287,-96707374,718,1,rock,rockpool-platform,0,2600,41,-1,0,4946270
-221015589,-96707996,1086,1,rock,rockpool-platform,0,2600,29,-1,0,4945902
-220964228,-96708325,1238,1,rock,coquina-shell-rock,0,1400,7,-1,0,4945750
-220958244,-96709388,1063,1,tree,coast-palm,0,10000,8,-1,0,4945925
-220929287,-96709044,943,1,rock,lava-tube-bench,0,3400,7,-1,0,4946045
-220905669,-96709919,887,1,rock,coquina-shell-rock,0,1400,15,-1,0,4946101
-220899148,-96707237,1356,1,tree,coast-palm,0,10000,10,-1,0,4945632
-220891008,-96706459,839,1,tree,coast-palm,0,10000,25,-1,0,4946149
-220870001,-96705685,198,1,rock,pillow-lava-mound,0,2200,52,-1,0,4946790
-220823667,-96707767,269,1,rock,oyster-reef-bank,0,2000,40,-1,0,4946719
-220802789,-96705519,707,1,rock,coral-rubble-bank,0,1800,29,-1,0,4946281
-220787381,-96707007,1221,1,tree,maritime-pine,0,20000,4,-1,0,4945767
-220784141,-96705232,1355,1,tree,coast-palm,0,10000,5,-1,0,4945633
-220770211,-96706538,1182,1,rock,beachrock-slab,0,2200,19,-1,0,4945806
-221027861,-96704321,517,1,rock,beachrock-slab,0,2200,45,-1,0,4946471
-221015530,-96701164,856,1,rock,tidal-notch,0,2400,23,-1,0,4946132
-220986795,-96700117,1254,1,tree,monterey-cypress,0,12000,12,-1,0,4945734
-220978767,-96702416,1669,1,tree,coast-palm,0,10000,5,-1,0,4945319
-220972679,-96700616,1232,1,rock,coral-rubble-bank,0,1800,8,-1,0,4945756
-220965255,-96703057,1530,1,rock,pillow-lava-mound,0,2200,2,-1,0,4945458
-220953445,-96702211,1379,1,rock,oyster-reef-bank,0,2000,5,-1,0,4945609
-220931334,-96702662,1229,1,tree,casuarina,0,15000,4,-1,0,4945759
-220918969,-96702286,1292,1,tree,monterey-cypress,0,12000,12,-1,0,4945696
-220901760,-96702831,1281,1,tree,coast-palm,0,10000,2,-1,0,4945707
-220898485,-96702420,1548,1,rock,coquina-shell-rock,0,1400,9,-1,0,4945440
-220874528,-96704991,280,1,rock,coral-rubble-bank,0,1800,53,-1,0,4946708
-220828797,-96701189,-7,1,rock,coral-rubble-bank,0,1800,32,-1,7,4946995
-220797570,-96701860,848,1,rock,coral-rubble-bank,0,1800,20,-1,0,4946140
-220775332,-96702945,1215,1,tree,maritime-pine,0,20000,13,-1,0,4945773
-221033622,-96697439,789,1,tree,casuarina,0,15000,42,-1,0,4946199
-221028800,-96698635,939,1,rock,tidal-notch,0,2400,40,-1,0,4946049
-220989682,-96695454,1172,1,tree,coast-palm,0,10000,17,-1,0,4945816
-220983654,-96695539,1218,1,rock,submerged-limestone-pavement,0,3000,18,-1,0,4945770
-220959748,-96697571,1180,1,rock,coral-rubble-bank,0,1800,13,-1,0,4945808
-220947179,-96697641,1416,1,rock,chalk-outcrop,0,1600,15,-1,0,4945572
-220939470,-96699009,1190,1,rock,submerged-limestone-pavement,0,3000,11,-1,0,4945798
-220930687,-96695545,1324,1,tree,coast-palm,0,10000,15,-1,0,4945664
-220903553,-96697861,1804,1,tree,maritime-pine,0,20000,17,-1,0,4945184
-220885267,-96696251,695,1,rock,reef-flat-pavement,0,3000,47,-1,0,4946293
-220877295,-96696664,374,1,tree,coast-palm,0,10000,51,-1,0,4946614
-220867823,-96695201,5,1,tree,maritime-pine,0,20000,50,-1,0,4946983
-220839763,-96697415,-270,1,tree,coast-palm,0,10000,19,-1,270,4947258
-220817829,-96698540,407,1,rock,coral-rubble-bank,0,1800,44,-1,0,4946581
-220813197,-96696371,846,1,rock,oyster-reef-bank,0,2000,44,-1,0,4946142
-221031433,-96693181,983,1,tree,monterey-cypress,0,12000,32,-1,0,4946005
-221014310,-96694644,1018,1,rock,beachrock-slab,0,2200,15,-1,0,4945970
-220980999,-96692836,969,1,tree,coast-palm,0,10000,22,-1,0,4946019
-220942224,-96694028,1113,1,tree,coast-palm,0,10000,21,-1,0,4945875
-220938716,-96691634,1111,1,tree,coast-palm,0,10000,23,-1,0,4945877
-220904259,-96693240,1710,1,rock,submerged-limestone-pavement,0,3000,27,-1,0,4945278
-220896080,-96691430,1376,1,rock,pillow-lava-mound,0,2200,36,-1,0,4945612
-220878232,-96692849,266,1,rock,coquina-shell-rock,0,1400,47,-1,0,4946722
-220852866,-96690911,-243,1,rock,coral-rubble-bank,0,1800,42,-1,243,4947231
-220833938,-96693722,16,1,tree,maritime-pine,0,20000,36,-1,0,4946972
-220828540,-96692494,38,1,tree,maritime-pine,0,20000,44,-1,0,4946950
-220815302,-96694964,636,1,rock,chalk-cliff-foot,0,2800,46,-1,0,4946352
-220814164,-96693780,651,1,rock,oyster-reef-bank,0,2000,45,-1,0,4946337
-220807923,-96690102,965,1,rock,coral-rubble-bank,0,1800,38,-1,0,4946023
-220776364,-96694041,1363,1,rock,boulder-beach,0,3000,10,-1,0,4945625
-220772436,-96694549,1042,1,rock,boulder-beach,0,3000,11,-1,0,4945946
-221030427,-96687833,1144,1,rock,coral-rubble-bank,0,1800,25,-1,0,4945844
-221028985,-96685746,1454,1,rock,boulder-beach,0,3000,22,-1,0,4945534
-221023373,-96688641,1380,1,rock,chalk-outcrop,0,1600,19,-1,0,4945608
-220994196,-96689665,1092,1,rock,reef-flat-pavement,0,3000,15,-1,0,4945896
-220977873,-96686885,782,1,tree,maritime-pine,0,20000,34,-1,0,4946206
-220962304,-96687706,1149,1,tree,casuarina,0,15000,34,-1,0,4945839
-220950918,-96689383,1105,1,tree,coast-palm,0,10000,29,-1,0,4945883
-220929252,-96686929,1027,1,rock,rockpool-platform,0,2600,29,-1,0,4945961
-220922593,-96686829,1212,1,rock,beachrock-slab,0,2200,33,-1,0,4945776
-220907418,-96686820,1405,1,tree,maritime-pine,0,20000,41,-1,0,4945583
-220903004,-96688822,1625,1,tree,maritime-pine,0,20000,36,-1,0,4945363
-220897872,-96686080,1264,1,rock,pillow-lava-mound,0,2200,43,-1,0,4945724
-220891501,-96689190,1206,1,rock,coral-rubble-bank,0,1800,45,-1,0,4945782
-220838215,-96688837,-97,1,rock,oyster-reef-bank,0,2000,41,-1,97,4947085
-220812483,-96688118,844,1,rock,oyster-reef-bank,0,2000,45,-1,0,4946144
-220771106,-96687584,1060,1,rock,lava-tube-bench,0,3400,7,-1,0,4945928
-221044008,-96681999,1365,1,tree,maritime-pine,0,20000,20,-1,0,4945623
-221039009,-96684593,1395,1,rock,lava-tube-bench,0,3400,24,-1,0,4945593
-221013026,-96684727,1187,1,tree,maritime-pine,0,20000,13,-1,0,4945801
-220991048,-96682962,850,1,rock,coquina-shell-rock,0,1400,33,-1,0,4946138
-220976107,-96680589,580,1,tree,coast-palm,0,10000,44,-1,0,4946408
-220965928,-96682266,941,1,rock,reef-flat-pavement,0,3000,42,-1,0,4946047
-220942296,-96681287,955,1,rock,boulder-beach,0,3000,35,-1,0,4946033
