x_mm,y_mm,z_mm,layer,kind,species,riparian,height_mm,slope_mm_per_m,dist_water_mm,standing_water_mm,treeline_delta_mm
-75934269,-96583553,477833,0,rock,roche-moutonnee,0,4000,102,-1,0,-473833
-75743524,-96476318,477744,0,rock,jointed-granite-tor,0,4000,52,-1,0,-473744
-75878804,-96723486,478135,1,rock,granite-boulder,0,2400,92,-1,0,-474135
-75817216,-96724737,479945,1,rock,veined-granite,0,2400,30,-1,0,-475945
-75811669,-96717951,479861,1,rock,granite-boulder,0,2400,19,-1,0,-475861
-75910138,-96711178,475527,1,rock,granite-boulder,0,2400,113,-1,0,-471527
-75854020,-96710214,479892,1,rock,veined-granite,0,2400,50,-1,0,-475892
-75785250,-96712784,480890,1,rock,granite-boulder,0,2400,57,-1,0,-476890
-75728143,-96711526,482449,1,rock,granite-boulder,0,2400,62,-1,0,-478449
-75892912,-96705465,477318,1,rock,granite-boulder,0,2400,92,-1,0,-473318
-75843856,-96709756,479779,1,rock,granite-boulder,0,2400,51,-1,0,-475779
-75817973,-96709259,479941,1,rock,granite-boulder,0,2400,10,-1,0,-475941
-75849289,-96701142,479261,1,rock,granite-boulder,0,2400,45,-1,0,-475261
-75838685,-96704971,479665,1,rock,granite-boulder,0,2400,57,-1,0,-475665
-75910954,-96695507,475648,1,rock,granite-boulder,0,2400,107,-1,0,-471648
-75823697,-96695455,480012,1,rock,granite-boulder,0,2400,55,-1,0,-476012
-75810707,-96696847,480412,1,rock,granite-boulder,0,2400,21,-1,0,-476412
-75792070,-96697413,480222,1,rock,granite-boulder,0,2400,25,-1,0,-476222
-75764080,-96697457,480858,1,rock,granite-boulder,0,2400,93,-1,0,-476858
-75887087,-96691277,478263,1,rock,granite-boulder,0,2400,94,-1,0,-474263
-75887370,-96685652,478346,1,rock,veined-granite,0,2400,115,-1,0,-474346
-75798481,-96685915,479922,1,rock,granite-boulder,0,2400,41,-1,0,-475922
-75751443,-96689343,480860,1,rock,granite-boulder,0,2400,87,-1,0,-476860
-75886714,-96678811,479415,1,rock,granite-boulder,0,2400,121,-1,0,-475415
-75862821,-96675146,479702,1,rock,granite-boulder,0,2400,43,-1,0,-475702
-75961001,-96672672,472552,1,rock,granite-boulder,0,2400,191,-1,0,-468552
-75916239,-96674451,476487,1,rock,granite-boulder,0,2400,176,-1,0,-472487
-75741655,-96670430,480477,1,rock,granite-boulder,0,2400,65,-1,0,-476477
-75953611,-96669015,474081,1,rock,granite-boulder,0,2400,185,-1,0,-470081
-75946919,-96667774,474382,1,rock,granite-boulder,0,2400,172,-1,0,-470382
-75911923,-96666357,477344,1,rock,veined-granite,0,2400,187,-1,0,-473344
-75895698,-96666729,479400,1,rock,granite-boulder,0,2400,138,-1,0,-475400
-75852874,-96666773,479925,1,rock,granite-boulder,0,2400,56,-1,0,-475925
-75961947,-96661713,474097,1,rock,granite-boulder,0,2400,179,-1,0,-470097
-75729005,-96661226,480795,1,rock,granite-boulder,0,2400,58,-1,0,-476795
-75898472,-96655966,479625,1,rock,granite-boulder,0,2400,112,-1,0,-475625
-75832252,-96657137,479812,1,rock,granite-boulder,0,2400,96,-1,0,-475812
-75760867,-96656920,479960,1,rock,granite-boulder,0,2400,38,-1,0,-475960
-75834916,-96652152,480041,1,rock,granite-boulder,0,2400,90,-1,0,-476041
-75986087,-96647412,471305,1,rock,granite-boulder,0,2400,123,-1,0,-467305
-75907718,-96643165,479936,1,rock,granite-boulder,0,2400,115,-1,0,-475936
-75881256,-96643902,479618,1,rock,granite-boulder,0,2400,1,-1,0,-475618
-75853003,-96638890,480080,1,rock,granite-boulder,0,2400,39,-1,0,-476080
-75838614,-96638435,480701,1,rock,granite-boulder,0,2400,32,-1,0,-476701
-75766750,-96638921,480821,1,rock,granite-boulder,0,2400,40,-1,0,-476821
-75741965,-96638591,480560,1,rock,granite-boulder,0,2400,38,-1,0,-476560
-75942943,-96634767,477250,1,rock,granite-boulder,0,2400,120,-1,0,-473250
-75908411,-96633069,480530,1,rock,granite-boulder,0,2400,85,-1,0,-476530
-75895187,-96634716,480433,1,rock,granite-boulder,0,2400,25,-1,0,-476433
-75805515,-96633433,480912,1,rock,granite-boulder,0,2400,55,-1,0,-476912
-75755231,-96634864,480805,1,rock,granite-boulder,0,2400,43,-1,0,-476805
-75993639,-96626479,470583,1,rock,granite-boulder,0,2400,120,-1,0,-466583
-75749120,-96626981,480893,1,rock,granite-boulder,0,2400,24,-1,0,-476893
-75849767,-96620235,480900,1,rock,granite-boulder,0,2400,45,-1,0,-476900
-75885641,-96613646,479901,1,rock,granite-boulder,0,2400,15,-1,0,-475901
-75851336,-96610992,480567,1,rock,granite-boulder,0,2400,42,-1,0,-476567
-75803930,-96611606,480580,1,rock,granite-boulder,0,2400,62,-1,0,-476580
-75921124,-96607882,478788,1,rock,veined-granite,0,2400,93,-1,0,-474788
-75739510,-96606585,481270,1,rock,granite-boulder,0,2400,39,-1,0,-477270
-75924543,-96602185,478456,1,rock,granite-boulder,0,2400,91,-1,0,-474456
-75847655,-96600858,479866,1,rock,granite-boulder,0,2400,56,-1,0,-475866
-75936104,-96595179,477305,1,rock,granite-boulder,0,2400,107,-1,0,-473305
-75751404,-96597811,481130,1,rock,granite-boulder,0,2400,75,-1,0,-477130
-75848423,-96592438,479257,1,rock,granite-boulder,0,2400,68,-1,0,-475257
-75814904,-96592956,479415,1,rock,granite-boulder,0,2400,76,-1,0,-475415
-75777333,-96594698,479759,1,rock,granite-boulder,0,2400,57,-1,0,-475759
-75755846,-96594909,480683,1,rock,granite-boulder,0,2400,77,-1,0,-476683
-75797207,-96589376,479343,1,rock,granite-boulder,0,2400,67,-1,0,-475343
-75949446,-96582450,475810,1,rock,granite-boulder,0,2400,109,-1,0,-471810
-75925902,-96581795,478252,1,rock,granite-boulder,0,2400,70,-1,0,-474252
-75812980,-96575639,478196,1,rock,granite-boulder,0,2400,66,-1,0,-474196
-75753668,-96576370,480019,1,rock,granite-boulder,0,2400,75,-1,0,-476019
-75792351,-96570164,478374,1,rock,granite-boulder,0,2400,75,-1,0,-474374
-75846174,-96569029,477897,1,rock,granite-boulder,0,2400,61,-1,0,-473897
-75762872,-96569996,479459,1,rock,granite-boulder,0,2400,57,-1,0,-475459
-75737492,-96569575,480378,1,rock,granite-boulder,0,2400,93,-1,0,-476378
-75791484,-96564893,478247,1,rock,granite-boulder,0,2400,75,-1,0,-474247
-75918958,-96555819,478131,1,rock,granite-boulder,0,2400,138,-1,0,-474131
-75903339,-96559350,478453,1,rock,granite-boulder,0,2400,21,-1,0,-474453
-75842433,-96557541,477351,1,rock,granite-boulder,0,2400,36,-1,0,-473351
-75832677,-96558355,477490,1,rock,granite-boulder,0,2400,42,-1,0,-473490
-75773472,-96558924,478988,1,rock,granite-boulder,0,2400,65,-1,0,-474988
-75750748,-96557629,479330,1,rock,granite-boulder,0,2400,59,-1,0,-475330
-75869439,-96553299,477736,1,rock,granite-boulder,0,2400,55,-1,0,-473736
-75818981,-96554928,477247,1,rock,granite-boulder,0,2400,39,-1,0,-473247
-75980094,-96548980,473326,1,rock,granite-boulder,0,2400,104,-1,0,-469326
-75844933,-96549485,477141,1,rock,granite-boulder,0,2400,27,-1,0,-473141
-75822891,-96548969,477087,1,rock,granite-boulder,0,2400,33,-1,0,-473087
-75833029,-96535771,476808,1,rock,granite-boulder,0,2400,27,-1,0,-472808
-75871189,-96531703,478073,1,rock,granite-boulder,0,2400,46,-1,0,-474073
-75787005,-96533252,477247,1,rock,granite-boulder,0,2400,79,-1,0,-473247
-75728017,-96529282,478517,1,rock,granite-boulder,0,2400,39,-1,0,-474517
-75831906,-96520785,476660,1,rock,granite-boulder,0,2400,43,-1,0,-472660
-75845619,-96516286,477361,1,rock,granite-boulder,0,2400,52,-1,0,-473361
-75825965,-96519698,476321,1,rock,granite-boulder,0,2400,44,-1,0,-472321
