x_mm,y_mm,z_mm,layer,kind,species,riparian,height_mm,slope_mm_per_m,dist_water_mm,standing_water_mm,treeline_delta_mm
-92443199,-75945463,166389,0,rock,exfoliating-dome,0,5000,26,-1,0,4027671
-92524572,-75924023,166364,0,rock,desert-mesa-block,0,5500,106,-1,0,4027696
-92412401,-75769302,171451,0,rock,granite-kopje,0,4500,94,-1,0,4022609
-92429269,-75716456,172308,0,rock,sarsen-stone,0,2000,16,-1,0,4021752
-92584998,-75994801,163660,1,tree,small-leaved-lime,0,25000,69,-1,0,4030400
-92579843,-75992569,163819,1,tree,black-cherry,0,20000,62,-1,0,4030241
-92530649,-75990554,162870,1,tree,honey-locust,0,18000,54,-1,0,4031190
-92514008,-75993711,162633,1,rock,sinkhole-rim,0,3000,11,-1,0,4031427
-92470931,-75994535,163368,1,tree,common-ash,0,20000,63,-1,0,4030692
-92464114,-75993999,163687,1,tree,quaking-aspen,0,18000,53,-1,0,4030373
-92457374,-75993734,164034,1,rock,granite-boulder,0,2400,57,-1,0,4030026
-92429368,-75991509,165347,1,tree,cherry-blossom,0,6500,92,-1,0,3981655
-92413186,-75990752,166461,1,tree,sugar-maple,0,25000,105,-1,0,3980541
-92400759,-75994555,166627,1,tree,sycamore-maple,0,25000,51,-1,0,3980375
-92362745,-75994902,160919,1,tree,honey-locust,0,18000,30,-1,0,3986083
-92357363,-75991916,160942,1,tree,cherry-blossom,0,6500,17,-1,0,3986060
-92342334,-75990429,164799,1,tree,quaking-aspen,0,18000,41,-1,0,3982203
-92331341,-75991244,165239,1,tree,field-elm,0,11000,143,-1,0,3981763
-92315754,-75992737,165970,1,tree,quaking-aspen,0,18000,130,-1,0,3981032
-92565664,-75988545,163629,1,tree,black-cherry,0,20000,97,-1,0,4030431
-92558515,-75987095,163501,1,tree,quaking-aspen,0,18000,87,-1,0,4030559
-92551614,-75989650,163124,1,tree,cork-oak,0,12000,102,-1,0,4030936
-92544405,-75989679,163042,1,tree,holm-oak,0,12000,53,-1,0,4031018
-92532073,-75988325,163008,1,tree,sweet-chestnut,0,25000,53,-1,0,4031052
-92507806,-75985094,162771,1,tree,black-cherry,0,20000,67,-1,0,4031289
-92501437,-75986520,162679,1,tree,maritime-pine,0,20000,136,-1,0,4031381
-92497742,-75986175,162639,1,tree,crab-apple,0,6000,158,-1,0,4031421
-92489720,-75989119,162544,1,tree,common-ash,0,20000,170,-1,0,4031516
-92440522,-75988866,164980,1,tree,quaking-aspen,0,18000,106,-1,0,4029080
-92438590,-75988100,165116,1,tree,holm-oak,0,12000,106,-1,0,4028944
-92425096,-75987695,165804,1,tree,marula,0,10000,153,-1,0,3981198
-92415456,-75987021,166463,1,tree,olive,0,8000,130,-1,0,3980539
-92407916,-75985839,167027,1,tree,small-leaved-lime,0,25000,48,-1,0,3979975
-92392505,-75989433,166302,1,tree,honey-locust,0,18000,169,-1,0,3980700
-92382427,-75987773,165185,1,tree,stone-pine,0,18000,108,-1,0,3981817
-92359035,-75989502,160938,1,tree,rowan,0,8000,8,-1,0,3986064
-92353809,-75985150,160966,1,tree,black-cherry,0,20000,38,-1,0,3986036
-92347886,-75985515,161059,1,tree,scots-pine,0,25000,182,-1,0,3985943
-92583613,-75980071,164207,1,tree,shagbark-hickory,0,25000,88,-1,0,4029853
-92531808,-75983740,163336,1,tree,common-ash,0,20000,91,-1,0,4030724
-92520895,-75984820,163087,1,tree,maritime-pine,0,20000,84,-1,0,4030973
-92506352,-75980235,163048,1,tree,field-maple,0,10000,97,-1,0,4031012
-92475273,-75981874,163188,1,tree,crab-apple,0,6000,107,-1,0,4030872
-92452274,-75980799,164836,1,tree,scots-pine,0,25000,75,-1,0,4029224
-92435265,-75982625,165697,1,tree,wild-pear,0,8000,114,-1,0,4028363
-92407061,-75980795,167112,1,rock,charcoal-blackened-block,0,1600,21,-1,0,3979890
-92404663,-75982881,167085,1,tree,field-maple,0,10000,27,-1,0,3979917
-92373777,-75980390,165040,1,tree,european-yew,0,12000,125,-1,0,3981962
-92348605,-75980393,161002,1,tree,sugar-maple,0,25000,22,-1,0,3986000
-92332659,-75980137,165627,1,tree,quaking-aspen,0,18000,90,-1,0,3981375
-92316015,-75980185,166471,1,tree,crab-apple,0,6000,22,-1,0,3980531
-92557839,-75979444,163756,1,rock,granite-boulder,0,2400,54,-1,0,4030304
-92538210,-75976128,164096,1,tree,honey-locust,0,18000,109,-1,0,4029964
-92521739,-75978342,163606,1,tree,sweet-chestnut,0,25000,117,-1,0,4030454
-92498214,-75979625,162954,1,tree,field-maple,0,10000,54,-1,0,4031106
-92489087,-75979958,162499,1,tree,bur-oak,0,15000,0,-1,0,4031561
-92482799,-75978273,162500,1,tree,field-maple,0,10000,0,-1,0,4031560
-92471933,-75975789,163711,1,tree,stone-pine,0,18000,110,-1,0,4030349
-92457305,-75975166,164556,1,tree,wild-pear,0,8000,140,-1,0,4029504
-92418371,-75979669,166787,1,tree,field-maple,0,10000,137,-1,0,3980215
-92365170,-75979586,164774,1,tree,cherry-blossom,0,6500,106,-1,0,3982228
-92363166,-75979652,164623,1,tree,cherry-blossom,0,6500,452,-1,0,3982379
-92333863,-75975845,165328,1,tree,quaking-aspen,0,18000,496,-1,0,3981674
-92327358,-75976960,165998,1,tree,quaking-aspen,0,18000,86,-1,0,3981004
-92315681,-75978186,166497,1,tree,wych-elm,0,20000,3,-1,0,3980505
-92310523,-75979699,166404,1,tree,field-maple,0,10000,10,-1,0,3980598
-92308672,-75979115,166407,1,tree,field-maple,0,10000,20,-1,0,3980595
-92566035,-75970423,164455,1,rock,granite-boulder,0,2400,53,-1,0,4029605
-92564753,-75972591,164347,1,tree,rowan,0,8000,81,-1,0,4029713
-92559170,-75974278,164067,1,tree,crab-apple,0,6000,100,-1,0,4029993
-92549306,-75971678,164262,1,tree,wych-elm,0,20000,53,-1,0,4029798
-92516667,-75970049,164069,1,tree,wild-pear,0,8000,96,-1,0,4029991
-92497553,-75972236,163382,1,tree,quaking-aspen,0,18000,130,-1,0,4030678
-92485779,-75972009,162501,1,tree,black-cherry,0,20000,3,-1,0,4031559
-92483430,-75974364,162500,1,tree,honey-locust,0,18000,1,-1,0,4031560
-92469455,-75972247,164139,1,tree,scots-pine,0,25000,104,-1,0,4029921
-92462244,-75971766,164478,1,tree,cork-oak,0,12000,111,-1,0,4029582
-92447284,-75974468,165372,1,tree,quaking-aspen,0,18000,143,-1,0,4028688
-92396707,-75974223,167172,1,tree,sweet-chestnut,0,25000,103,-1,0,3979830
-92393099,-75974440,166936,1,tree,field-maple,0,10000,96,-1,0,3980066
-92382995,-75973396,166173,1,tree,wild-pear,0,8000,115,-1,0,3980829
-92345944,-75972713,160998,1,tree,field-maple,0,10000,121,-1,0,3986004
-92329887,-75974885,165782,1,tree,columnar-cypress,0,13000,90,-1,0,3981220
-92307049,-75971787,166621,1,tree,shagbark-hickory,0,25000,34,-1,0,3980381
-92571186,-75968513,164600,1,rock,leaf-littered-slab,0,1900,50,-1,0,4029460
-92564751,-75969723,164464,1,tree,quaking-aspen,0,18000,65,-1,0,4029596
-92546002,-75968328,164628,1,tree,field-maple,0,10000,137,-1,0,4029432
-92536660,-75967880,164781,1,tree,quaking-aspen,0,18000,89,-1,0,4029279
-92522538,-75967480,164445,1,tree,field-maple,0,10000,96,-1,0,4029615
-92497324,-75965353,163835,1,tree,field-maple,0,10000,82,-1,0,4030225
-92491553,-75965171,163329,1,tree,crab-apple,0,6000,722,-1,0,4030731
-92460871,-75968490,164792,1,tree,wild-pear,0,8000,106,-1,0,4029268
-92455174,-75968155,165183,1,tree,columnar-cypress,0,13000,138,-1,0,4028877
-92439900,-75969453,166145,1,tree,field-maple,0,10000,78,-1,0,4027915
-92425321,-75966577,166971,1,tree,field-maple,0,10000,110,-1,0,3980031
-92424157,-75968918,166901,1,tree,field-maple,0,10000,105,-1,0,3980101
-92377460,-75968467,166215,1,rock,leaf-littered-slab,0,1900,106,-1,0,3980787
-92374165,-75965342,166320,1,tree,common-ash,0,20000,129,-1,0,3980682
-92310882,-75967192,166600,1,tree,quaking-aspen,0,18000,25,-1,0,3980402
-92572000,-75960294,165032,1,tree,columnar-cypress,0,13000,92,-1,0,4029028
-92566803,-75962610,164847,1,tree,desert-dead,0,6000,70,-1,0,4029213
-92560445,-75962984,164811,1,tree,cork-oak,0,12000,65,-1,0,4029249
-92548581,-75964555,164859,1,tree,rowan,0,8000,150,-1,0,4029201
-92509154,-75963883,164385,1,rock,chalk-outcrop,0,1600,65,-1,0,4029675
-92502600,-75961414,164271,1,tree,shagbark-hickory,0,25000,112,-1,0,4029789
-92492342,-75963584,163984,1,tree,bur-oak,0,15000,182,-1,0,4030076
-92486400,-75961681,162629,1,tree,common-ash,0,20000,2,-1,0,4031431
-92434890,-75964880,166574,1,tree,olive,0,8000,103,-1,0,4027486
-92354602,-75960903,165861,1,tree,field-elm,0,11000,70,-1,0,3981141
-92318358,-75964053,166380,1,rock,chalk-outcrop,0,1600,43,-1,0,3980622
-92555181,-75957100,165300,1,tree,field-maple,0,10000,107,-1,0,4028760
-92548753,-75959829,165200,1,tree,scots-pine,0,25000,75,-1,0,4028860
-92527184,-75956151,165000,1,tree,field-maple,0,10000,75,-1,0,4029060
-92497008,-75957664,164324,1,tree,stone-pine,0,18000,100,-1,0,4029736
-92444498,-75956252,166237,1,tree,field-maple,0,10000,84,-1,0,4027823
-92437605,-75959260,166546,1,tree,field-maple,0,10000,96,-1,0,4027514
-92434630,-75957558,166764,1,tree,rowan,0,8000,99,-1,0,4027296
-92396021,-75956094,167691,1,tree,holm-oak,0,12000,89,-1,0,3979311
-92394152,-75958970,167367,1,tree,wild-pear,0,8000,135,-1,0,3979635
-92383678,-75957090,167099,1,tree,common-ash,0,20000,99,-1,0,3979903
-92359568,-75957879,166253,1,tree,quaking-aspen,0,18000,106,-1,0,3980749
-92578009,-75952546,165178,1,tree,crab-apple,0,6000,42,-1,0,4028882
-92537978,-75953764,165344,1,tree,field-maple,0,10000,70,-1,0,4028716
-92527281,-75954111,165080,1,tree,quaking-aspen,0,18000,69,-1,0,4028980
-92513620,-75950988,165272,1,tree,olive,0,8000,53,-1,0,4028788
-92503109,-75954412,164628,1,rock,granite-boulder,0,2400,116,-1,0,4029432
-92499559,-75952898,164752,1,tree,scots-pine,0,25000,118,-1,0,4029308
-92472923,-75951797,162800,1,tree,crab-apple,0,6000,1,-1,0,4031260
-92455349,-75951433,165709,1,tree,field-maple,0,10000,97,-1,0,4028351
-92447081,-75951149,166193,1,rock,karst-breakdown-block,0,2000,66,-1,0,4027867
-92443641,-75954656,166342,1,rock,granite-boulder,0,2400,82,-1,0,4027718
-92422139,-75952691,167683,1,tree,crab-apple,0,6000,66,-1,0,3979319
-92413767,-75952958,168045,1,tree,maritime-pine,0,20000,13,-1,0,3978957
-92398839,-75951510,167958,1,tree,scots-pine,0,25000,52,-1,0,3979044
-92376291,-75953964,167216,1,tree,cherry-blossom,0,6500,92,-1,0,3979786
-92365658,-75950879,166800,1,rock,sinkhole-rim,0,3000,52,-1,0,3980202
-92364615,-75953808,166628,1,tree,honey-locust,0,18000,101,-1,0,3980374
-92318089,-75952928,166433,1,tree,quaking-aspen,0,18000,65,-1,0,3980569
-92552411,-75945966,165407,1,tree,quaking-aspen,0,18000,12,-1,0,4028653
-92529900,-75945343,165392,1,tree,temperate-oak,0,14000,51,-1,0,4028668
-92522948,-75947793,165358,1,tree,rowan,0,8000,50,-1,0,4028702
-92514568,-75947138,165426,1,rock,leaf-littered-slab,0,1900,59,-1,0,4028634
-92486161,-75948537,164742,1,rock,charcoal-blackened-block,0,1600,372,-1,0,4029318
-92474015,-75947354,162870,1,tree,field-maple,0,10000,62,-1,0,4031190
-92457036,-75949926,165669,1,tree,crab-apple,0,6000,99,-1,0,4028391
-92410902,-75945253,168090,1,tree,common-ash,0,20000,17,-1,0,3978912
-92395023,-75949871,168033,1,rock,conglomerate-boulder,0,1400,59,-1,0,3978969
-92393359,-75949972,167997,1,tree,field-maple,0,10000,97,-1,0,3979005
-92347515,-75949606,163047,1,tree,common-ash,0,20000,25,-1,0,3983955
-92326744,-75948018,163061,1,tree,small-leaved-lime,0,25000,114,-1,0,3983941
-92580922,-75944797,164997,1,tree,holm-oak,0,12000,82,-1,0,4029063
-92576754,-75940817,164901,1,tree,field-maple,0,10000,55,-1,0,4029159
-92560436,-75942952,165399,1,tree,field-maple,0,10000,0,-1,0,4028661
-92539925,-75941403,165641,1,tree,quaking-aspen,0,18000,50,-1,0,4028419
-92502798,-75944638,165112,1,rock,granite-boulder,0,2400,105,-1,0,4028948
-92431479,-75942558,166826,1,tree,common-ash,0,20000,53,-1,0,4027234
-92389647,-75941082,168099,1,tree,scots-pine,0,25000,2,-1,0,3978903
-92377649,-75942398,167713,1,tree,stone-pine,0,18000,82,-1,0,3979289
-92362744,-75942780,167080,1,tree,field-maple,0,10000,116,-1,0,3979922
-92321709,-75942817,163081,1,tree,cherry-blossom,0,6500,134,-1,0,3983921
-92576964,-75936792,164693,1,tree,common-ash,0,20000,175,-1,0,4029367
-92560656,-75939420,165398,1,tree,field-maple,0,10000,14,-1,0,4028662
-92521232,-75938909,165772,1,tree,quaking-aspen,0,18000,18,-1,0,4028288
-92513760,-75936220,165916,1,tree,sweet-chestnut,0,25000,86,-1,0,4028144
-92506591,-75937617,165669,1,tree,quaking-aspen,0,18000,106,-1,0,4028391
-92500949,-75935277,165916,1,tree,field-maple,0,10000,70,-1,0,4028144
-92499932,-75935450,165915,1,tree,olive,0,8000,75,-1,0,4028145
-92490497,-75937207,165576,1,tree,black-cherry,0,20000,100,-1,0,4028484
-92489362,-75938957,165430,1,tree,honey-locust,0,18000,66,-1,0,4028630
-92482721,-75936620,165556,1,tree,temperate-oak,0,14000,54,-1,0,4028504
-92478418,-75939054,165359,1,tree,crab-apple,0,6000,130,-1,0,4028701
-92448980,-75936243,166254,1,tree,scots-pine,0,25000,116,-1,0,4027806
-92436502,-75935831,166600,1,tree,sugar-maple,0,25000,12,-1,0,4027460
-92426720,-75935032,166893,1,tree,field-maple,0,10000,48,-1,0,3980109
-92421748,-75939375,167268,1,tree,common-ash,0,20000,105,-1,0,3979734
-92415268,-75938985,167750,1,tree,crab-apple,0,6000,119,-1,0,3979252
-92413074,-75939430,167938,1,tree,field-maple,0,10000,106,-1,0,3979064
-92382212,-75939174,168014,1,tree,honey-locust,0,18000,61,-1,0,3978988
-92319070,-75938509,163116,1,tree,honey-locust,0,18000,22,-1,0,3983886
-92570290,-75930245,164452,1,rock,limestone-slab,0,3400,131,-1,0,4029608
-92535707,-75932479,165702,1,tree,honey-locust,0,18000,6,-1,0,4028358
-92525672,-75930052,165796,1,tree,crab-apple,0,6000,81,-1,0,4028264
-92501791,-75930168,166230,1,tree,quaking-aspen,0,18000,88,-1,0,4027830
-92492471,-75932677,165900,1,tree,crab-apple,0,6000,98,-1,0,4028160
-92472066,-75931746,165857,1,tree,joshua-tree,0,8000,100,-1,0,4028203
