x_mm,y_mm,z_mm,layer,kind,species,riparian,height_mm,slope_mm_per_m,dist_water_mm,standing_water_mm,treeline_delta_mm
-39710770,-57397923,1368870,0,rock,exfoliating-dome,0,5000,132,0,0,1742856
-39710615,-57377702,1369600,0,rock,mossy-forest-boulder,0,4500,0,14000,0,1695068
-39560428,-57257217,1367520,0,tree,norway-spruce,0,35000,22,4000,0,1744206
-39564942,-57238412,1368906,0,tree,western-hemlock,0,35000,179,28000,0,1695762
-39643276,-57148859,1418164,0,rock,tufa-curtain,1,2000,608,0,138,1552388
-39776150,-57431480,1356476,1,tree,tree-fern,1,6000,190,0,0,1708192
-39768641,-57427865,1356380,1,tree,scots-pine,0,25000,280,0,0,1708288
-39787968,-57421260,1373428,1,tree,columnar-cypress,0,13000,460,8000,0,1691240
-39791436,-57415169,1375376,1,tree,sycamore-maple,0,25000,361,16000,0,1689292
-39793273,-57412389,1376234,1,tree,quaking-aspen,0,18000,325,24000,0,1688434
-39765934,-57411086,1367383,1,tree,tree-fern,1,6000,459,10000,0,1697285
-39764344,-57411672,1367001,1,tree,scots-pine,0,25000,420,8000,0,1697667
-39750990,-57412772,1366282,1,tree,rowan,0,8000,412,0,0,1698386
-39799586,-57406233,1378633,1,tree,quaking-aspen,0,18000,377,22000,0,1686035
-39786058,-57407036,1376609,1,tree,sycamore-maple,0,25000,438,20000,0,1688059
-39766607,-57409573,1367809,1,tree,sycamore-maple,0,25000,256,10000,0,1696859
-39751941,-57406022,1367996,1,rock,granite-boulder,0,2400,91,8000,0,1696672
-39749867,-57407634,1367643,1,tree,sycamore-maple,0,25000,322,6000,0,1697025
-39740607,-57409435,1366662,1,tree,rowan,0,8000,382,4000,0,1698006
-39731161,-57405127,1367598,1,tree,birch,0,16000,234,4000,0,1697070
-39717437,-57405174,1367491,1,rock,granite-boulder,0,2400,276,0,0,1744235
-39797244,-57403254,1379232,1,tree,birch,0,16000,422,28000,0,1685436
-39756182,-57404666,1368225,1,rock,leaf-littered-slab,0,1900,302,14000,0,1696443
-39740404,-57401598,1368517,1,tree,rowan,0,8000,156,12000,0,1696151
-39794083,-57395617,1380725,1,tree,birch,0,16000,403,36000,0,1683943
-39757749,-57397505,1369055,1,tree,rowan,0,8000,183,16000,0,1695613
-39749606,-57399917,1368496,1,tree,scots-pine,0,25000,21,14000,0,1696172
-39708012,-57399453,1368589,1,tree,tree-fern,1,6000,156,0,0,1743137
-39794919,-57394758,1381107,1,tree,bur-oak,0,15000,377,36000,0,1683561
-39750016,-57393699,1368989,1,tree,quaking-aspen,0,18000,40,22000,0,1695679
-39747200,-57391329,1369203,1,tree,sugar-maple,0,25000,108,20000,0,1695465
-39717153,-57390681,1369461,1,rock,charcoal-blackened-block,0,1600,115,10000,0,1742265
-39705368,-57393614,1369207,1,tree,rowan,0,8000,74,6000,0,1742519
-39795649,-57388011,1382761,1,tree,sugar-maple,0,25000,474,36000,0,1681907
-39757303,-57387610,1369669,1,tree,tree-fern,1,6000,137,30000,0,1694999
-39747372,-57385162,1369497,1,tree,sugar-maple,0,25000,24,28000,0,1695171
-39732205,-57387175,1369574,1,rock,mossy-sandstone-bench,1,2400,33,26000,0,1695094
-39728542,-57386179,1369538,1,rock,leaf-littered-slab,0,1900,22,26000,0,1695130
-39717925,-57386233,1369502,1,tree,sycamore-maple,0,25000,7,16000,0,1695166
-39710487,-57387748,1369518,1,rock,mossy-sandstone-bench,1,2400,28,10000,0,1695150
-39697533,-57387514,1369665,1,tree,quaking-aspen,0,18000,312,4000,0,1695003
-39741530,-57383763,1369726,1,tree,rowan,0,8000,203,28000,0,1694942
-39732057,-57381050,1369979,1,tree,quaking-aspen,0,18000,173,32000,0,1694689
-39717711,-57382560,1369588,1,tree,rowan,0,8000,22,16000,0,1695080
-39702142,-57383214,1369547,1,tree,sugar-maple,0,25000,8,4000,0,1695121
-39759556,-57376036,1370387,1,tree,tundra-pine,0,9000,244,38000,0,1694281
-39726773,-57379362,1369812,1,rock,sinkhole-rim,0,3000,132,26000,0,1694856
-39713089,-57379404,1369600,1,tree,scots-pine,0,25000,0,20000,0,1695068
-39697031,-57375749,1369553,1,rock,mossy-sandstone-bench,1,2400,9,0,0,1695115
-39758376,-57373801,1370446,1,tree,tree-fern,1,6000,171,46000,0,1694222
-39754315,-57371284,1370771,1,rock,leaf-littered-slab,0,1900,226,44000,0,1693897
-39722425,-57373690,1370407,1,tree,columnar-cypress,0,13000,326,30000,0,1694261
-39718485,-57373008,1370060,1,tree,columnar-cypress,0,13000,323,24000,0,1694608
-39761676,-57366487,1372287,1,tree,sugar-maple,0,25000,334,52000,0,1692381
-39753789,-57367603,1371467,1,rock,granite-boulder,0,2400,284,44000,0,1693201
-39707309,-57368909,1369594,1,tree,quaking-aspen,0,18000,72,16000,0,1695074
-39741321,-57361221,1373982,1,tree,tundra-pine,0,9000,112,46000,0,1690686
-39712361,-57363217,1371409,1,rock,granite-boulder,0,2400,497,20000,0,1693259
-39702686,-57361298,1370068,1,tree,scots-pine,0,25000,499,14000,0,1694600
-39692627,-57361267,1369599,1,tree,quaking-aspen,0,18000,0,6000,0,1695069
-39765132,-57359705,1374039,1,tree,quaking-aspen,0,18000,345,62000,0,1643571
-39742820,-57359896,1374245,1,tree,quaking-aspen,0,18000,499,56000,0,1690423
-39679665,-57356824,1369570,1,rock,leaf-littered-slab,0,1900,211,0,0,1695098
-39761182,-57352132,1375847,1,tree,sugar-maple,0,25000,529,68000,0,1641763
-39682427,-57351900,1369554,1,tree,quaking-aspen,0,18000,16,2000,0,1695114
-39701086,-57349714,1371200,1,tree,scots-pine,0,25000,480,22000,0,1693468
-39699014,-57347303,1370744,1,tree,rowan,0,8000,412,22000,0,1693924
-39692181,-57345010,1369623,1,tree,quaking-aspen,0,18000,112,16000,0,1695045
-39689842,-57347726,1369584,1,tree,birch,0,16000,26,10000,0,1695084
-39717495,-57343811,1381939,1,tree,birch,0,16000,638,38000,0,1682729
-39712588,-57340810,1380079,1,tree,columnar-cypress,0,13000,664,38000,0,1684589
-39695573,-57340053,1370420,1,rock,leaf-littered-slab,0,1900,290,20000,0,1694248
-39675688,-57340810,1369539,1,tree,sycamore-maple,0,25000,35,6000,0,1695129
-39671305,-57344761,1369402,1,tree,tree-fern,1,6000,691,0,0,1695266
-39714440,-57336849,1381646,1,tree,rowan,0,8000,564,42000,0,1683022
-39693936,-57338449,1370257,1,tree,quaking-aspen,0,18000,276,20000,0,1694411
-39683863,-57337803,1369538,1,tree,quaking-aspen,0,18000,34,12000,0,1695130
-39677878,-57335484,1369500,1,rock,leaf-littered-slab,0,1900,0,10000,0,1695168
-39692184,-57332968,1370680,1,tree,tundra-pine,0,9000,411,24000,0,1693988
-39686420,-57334380,1369633,1,tree,sugar-maple,0,25000,110,16000,0,1695035
-39678355,-57332820,1369536,1,tree,rowan,0,8000,22,10000,0,1695132
-39672360,-57332429,1369540,1,tree,common-alder,1,18000,1,4000,0,1695128
-39688658,-57329892,1370614,1,tree,birch,0,16000,461,18000,0,1694054
-39765302,-57322307,1404888,1,tree,birch,0,16000,688,94000,0,1612722
-39744766,-57323011,1403042,1,tree,scots-pine,0,25000,454,72000,0,1614568
-39669166,-57323260,1368811,1,tree,quaking-aspen,0,18000,103,8000,0,1695857
-39661498,-57320024,1368289,1,rock,lake-bed-slab,1,2000,104,0,0,1696379
-39760411,-57315143,1409201,1,tree,quaking-aspen,0,18000,596,86000,0,1608409
-39753099,-57319557,1405384,1,tree,tree-fern,1,6000,850,78000,0,1612226
-39659685,-57315292,1367875,1,rock,quartz-vein-cobble-bar,1,1800,98,0,79,1743851
-39652503,-57315736,1367900,1,rock,chalk-outcrop,0,1600,369,0,0,1743826
-39677178,-57312939,1368669,1,tree,quaking-aspen,0,18000,312,4000,0,1695999
-39670642,-57312313,1367920,1,rock,marl-bench,1,1800,121,0,25,1696748
-39657066,-57314007,1367740,1,tree,birch,0,16000,60,0,189,1743986
-39650099,-57314632,1367883,1,tree,tundra-pine,0,9000,412,0,4,1743843
-39646499,-57311509,1367606,1,tree,sugar-maple,0,25000,241,0,236,1744120
-39765338,-57305925,1414812,1,tree,tundra-pine,0,9000,653,92000,0,1602798
-39679172,-57309692,1368955,1,tree,sycamore-maple,0,25000,246,4000,0,1695713
-39674895,-57305420,1368176,1,rock,quartz-vein-cobble-bar,1,1800,83,0,0,1696492
-39667765,-57305082,1367700,1,rock,rapids-whaleback,1,2400,48,0,217,1696968
-39663220,-57307250,1367576,1,rock,charcoal-blackened-block,0,1600,72,0,199,1697092
-39659604,-57305752,1367495,1,tree,common-alder,1,18000,43,0,171,1744231
-39649334,-57305623,1367400,1,tree,birch,0,16000,0,0,227,1744326
-39763556,-57300671,1417401,1,tree,birch,0,16000,567,86000,0,1600209
-39751861,-57301027,1416452,1,tree,quaking-aspen,0,18000,585,78000,0,1601158
-39677947,-57302067,1368319,1,tree,birch,0,16000,156,2000,0,1696349
-39665865,-57302164,1367588,1,rock,rapids-whaleback,1,2400,37,0,294,1697080
-39653829,-57303313,1367390,1,rock,quartz-vein-cobble-bar,1,1800,11,0,195,1744336
-39649065,-57304101,1367394,1,rock,gravel-bar,1,2400,12,0,208,1744332
-39642360,-57302660,1367334,1,rock,lake-bed-slab,1,2000,45,0,260,1744392
-39630793,-57300043,1367321,1,rock,rapids-whaleback,1,2400,53,0,206,1744405
-39745137,-57296789,1414298,1,tree,birch,0,16000,579,70000,0,1603312
-39685973,-57295107,1369398,1,tree,quaking-aspen,0,18000,214,10000,0,1695270
-39649400,-57299499,1367327,1,rock,gravel-bar,1,2400,39,0,251,1697341
-39633092,-57299814,1367303,1,tree,tundra-pine,0,9000,45,0,223,1697365
-39797457,-57290372,1428692,1,tree,sugar-maple,0,25000,534,102000,0,1541860
-39737370,-57290237,1412987,1,tree,tundra-pine,0,9000,379,62000,0,1604623
-39687846,-57290178,1369781,1,tree,tundra-pine,0,9000,235,10000,0,1694887
-39683165,-57293690,1369031,1,tree,birch,0,16000,130,10000,0,1695637
-39660925,-57290274,1367472,1,tree,birch,0,16000,41,0,211,1697196
-39642355,-57293440,1367299,1,rock,quartz-vein-cobble-bar,1,1800,0,0,0,1697369
-39637662,-57290131,1367300,1,rock,quartz-vein-cobble-bar,1,1800,0,2000,0,1697368
-39627539,-57290576,1367300,1,tree,tree-fern,1,6000,0,6000,0,1697368
-39792580,-57285519,1429556,1,tree,columnar-cypress,0,13000,586,106000,0,1540996
-39769387,-57285956,1424358,1,tree,sugar-maple,0,25000,536,92000,0,1546194
-39752666,-57288021,1419269,1,tree,columnar-cypress,0,13000,685,78000,0,1551283
-39692717,-57286012,1370689,1,rock,mossy-sandstone-bench,1,2400,331,18000,0,1646921
-39687642,-57285429,1370247,1,tree,rowan,0,8000,256,10000,0,1694421
-39670037,-57289831,1367795,1,tree,tundra-pine,0,9000,88,0,182,1696873
-39646145,-57286155,1367380,1,tree,columnar-cypress,0,13000,33,0,0,1697288
-39643783,-57285770,1367357,1,tree,common-alder,1,18000,41,2000,0,1697311
-39632330,-57288485,1367300,1,rock,rapids-whaleback,1,2400,0,4000,0,1697368
-39628094,-57285351,1367300,1,tree,rowan,0,8000,0,6000,0,1697368
-39788358,-57284146,1429555,1,tree,tundra-pine,0,9000,642,112000,0,1540997
-39777624,-57280334,1428337,1,tree,tundra-pine,0,9000,572,100000,0,1542215
-39770272,-57281221,1425587,1,tree,birch,0,16000,408,92000,0,1544965
-39696927,-57282436,1372446,1,tree,tree-fern,1,6000,500,18000,0,1645164
-39693034,-57283336,1371307,1,tree,birch,0,16000,377,18000,0,1646303
-39688323,-57282013,1370639,1,tree,scots-pine,0,25000,270,10000,0,1694029
-39681833,-57283803,1368989,1,tree,birch,0,16000,248,2000,0,1695679
-39670304,-57280240,1367940,1,tree,columnar-cypress,0,13000,132,0,8,1696728
-39643121,-57283751,1367399,1,tree,eastern-cottonwood,1,25000,2,2000,0,1697269
-39626128,-57282289,1367300,1,tree,rowan,0,8000,1,14000,0,1697368
-39613018,-57284926,1367300,1,tree,eastern-cottonwood,1,25000,0,8000,0,1697368
-39603120,-57283385,1367251,1,tree,birch,0,16000,41,4000,0,1697417
-39597653,-57283516,1367079,1,rock,granite-boulder,0,2400,496,0,0,1744647
-39762806,-57276017,1424845,1,tree,quaking-aspen,0,18000,488,86000,0,1545707
-39684757,-57278168,1369594,1,rock,leaf-littered-slab,0,1900,250,10000,0,1695074
-39653038,-57275859,1367531,1,rock,marl-bench,1,1800,45,0,203,1697137
-39640371,-57279963,1367400,1,rock,rapids-whaleback,1,2400,0,2000,0,1697268
-39598404,-57277690,1367350,1,rock,quartz-vein-cobble-bar,1,1800,24,0,0,1744376
-39791001,-57270380,1437421,1,tree,scots-pine,0,25000,564,116000,0,1533131
-39773762,-57273287,1427647,1,tree,quaking-aspen,0,18000,503,100000,0,1542905
-39682714,-57271451,1369689,1,tree,sycamore-maple,0,25000,242,12000,0,1694979
-39670025,-57273708,1368271,1,rock,undercut-bank-block,1,2000,164,0,0,1696397
-39655475,-57270374,1367609,1,tree,tundra-pine,0,9000,27,0,207,1697059
-39648518,-57274215,1367499,1,tree,sugar-maple,0,25000,2,0,0,1697169
