x_mm,y_mm,z_mm,layer,kind,species,riparian,height_mm,slope_mm_per_m,dist_water_mm,standing_water_mm,treeline_delta_mm
-92446969,-88360482,614819,0,tree,european-beech,0,30000,403,-1,0,1838095
-92352106,-88347108,641873,0,tree,european-beech,0,30000,227,-1,0,1763983
-92501564,-88319769,636692,0,tree,western-hemlock,0,35000,346,-1,0,1816222
-92345984,-88319554,641772,0,rock,mossy-forest-boulder,0,4500,306,-1,0,1764084
-92371704,-88275794,636460,0,tree,douglas-fir,0,40000,355,-1,0,1816454
-92412353,-88252804,635526,0,tree,douglas-fir,0,40000,212,-1,0,1817388
-92547542,-88235587,648402,0,tree,western-hemlock,0,35000,165,-1,0,1804512
-92529928,-88196978,643137,0,tree,douglas-fir,0,40000,304,-1,0,1809777
-92552609,-88444971,622212,1,tree,temperate-oak,0,14000,399,-1,0,1877760
-92526847,-88442721,619527,1,tree,holm-oak,0,12000,502,-1,0,1833387
-92518931,-88442404,618410,1,tree,sweet-chestnut,0,25000,497,-1,0,1834504
-92514446,-88441838,617583,1,tree,field-maple,0,10000,499,-1,0,1835331
-92508906,-88443534,615799,1,tree,tundra-pine,0,9000,504,-1,0,1837115
-92501498,-88441359,614023,1,tree,flowering-dogwood,0,8000,556,-1,0,1838891
-92489902,-88444576,609333,1,tree,crab-apple,0,6000,691,-1,0,1843581
-92423240,-88441241,582411,1,tree,shagbark-hickory,0,25000,505,-1,0,1917561
-92419307,-88442837,582047,1,tree,rowan,0,8000,606,-1,0,1917925
-92340578,-88444976,624418,1,tree,japanese-maple,0,5000,758,-1,0,1828496
-92326153,-88442659,631128,1,tree,field-maple,0,10000,640,-1,0,1821786
-92324538,-88444038,631247,1,tree,birch,0,16000,639,-1,0,1821667
-92572703,-88437722,624601,1,tree,sweet-chestnut,0,25000,441,-1,0,1828313
-92566289,-88437890,624578,1,tree,black-cherry,0,20000,388,-1,0,1828336
-92516742,-88439488,618803,1,tree,rowan,0,8000,517,-1,0,1834111
-92500699,-88439826,614202,1,tree,european-yew,0,12000,566,-1,0,1838712
-92433706,-88438461,584593,1,tree,rowan,0,8000,647,-1,0,1868321
-92425058,-88437796,583751,1,tree,hornbeam,0,20000,449,-1,0,1916221
-92349073,-88435168,622388,1,tree,cherry-blossom,0,6500,754,-1,0,1830526
-92322873,-88435725,634048,1,tree,field-maple,0,10000,586,-1,0,1771808
-92306898,-88439602,639270,1,tree,field-maple,0,10000,494,-1,0,1766586
-92574291,-88431077,627429,1,tree,sugar-maple,0,25000,392,-1,0,1825485
-92565584,-88433761,626265,1,tree,field-maple,0,10000,377,-1,0,1826649
-92538391,-88434381,623890,1,tree,field-maple,0,10000,506,-1,0,1829024
-92528032,-88430444,624161,1,tree,scots-pine,0,25000,549,-1,0,1828753
-92495318,-88434528,614717,1,tree,field-maple,0,10000,616,-1,0,1838197
-92487947,-88432282,613693,1,tree,flowering-dogwood,0,8000,680,-1,0,1839221
-92426209,-88430154,587365,1,tree,flowering-dogwood,0,8000,486,-1,0,1912607
-92347087,-88430019,624483,1,tree,columnar-cypress,0,13000,713,-1,0,1828431
-92339054,-88434016,628076,1,tree,flowering-dogwood,0,8000,682,-1,0,1777780
-92326547,-88431220,633443,1,tree,temperate-oak,0,14000,596,-1,0,1772413
-92324440,-88433838,633635,1,tree,field-maple,0,10000,593,-1,0,1772221
-92316328,-88433315,636801,1,tree,cherry-blossom,0,6500,536,-1,0,1769055
-92309367,-88431865,639726,1,tree,temperate-oak,0,14000,480,-1,0,1766130
-92577543,-88425143,629458,1,tree,hornbeam,0,20000,368,-1,0,1823456
-92540822,-88425443,627945,1,tree,flowering-dogwood,0,8000,463,-1,0,1824969
-92497596,-88426968,617709,1,tree,columnar-cypress,0,13000,600,-1,0,1835205
-92491270,-88429120,615600,1,tree,rowan,0,8000,640,-1,0,1837314
-92323414,-88427557,635214,1,tree,cherry-blossom,0,6500,561,-1,0,1770642
-92319087,-88427335,636846,1,tree,columnar-cypress,0,13000,538,-1,0,1769010
-92562846,-88423815,630361,1,tree,birch,0,16000,360,-1,0,1822553
-92548360,-88422521,629686,1,tree,american-beech,0,25000,400,-1,0,1823228
-92529878,-88424235,626688,1,tree,field-maple,0,10000,518,-1,0,1826226
-92519856,-88424809,625179,1,tree,flowering-dogwood,0,8000,554,-1,0,1827735
-92511044,-88423339,624160,1,tree,birch,0,16000,558,-1,0,1828754
-92506667,-88421857,623066,1,tree,rowan,0,8000,563,-1,0,1829848
-92438125,-88421439,591411,1,tree,flowering-dogwood,0,8000,704,-1,0,1861503
-92425669,-88421230,591500,1,tree,birch,0,16000,536,-1,0,1908472
-92420456,-88422077,592291,1,tree,field-maple,0,10000,711,-1,0,1907681
-92340867,-88421342,630221,1,tree,crab-apple,0,6000,655,-1,0,1822693
-92534094,-88418989,629426,1,tree,american-beech,0,25000,451,-1,0,1823488
-92513088,-88416249,626952,1,tree,flowering-dogwood,0,8000,520,-1,0,1825962
-92495552,-88419739,619791,1,tree,quaking-aspen,0,18000,589,-1,0,1833123
-92490819,-88415836,618942,1,tree,temperate-oak,0,14000,595,-1,0,1833972
-92430574,-88419161,592129,1,tree,birch,0,16000,507,-1,0,1860785
-92345325,-88419326,628130,1,tree,tundra-pine,0,9000,679,-1,0,1824784
-92332796,-88415724,634394,1,tree,wild-pear,0,8000,599,-1,0,1771462
-92306923,-88418979,642354,1,tree,common-ash,0,20000,411,-1,0,1763502
-92569431,-88414236,633405,1,tree,hornbeam,0,20000,318,-1,0,1819509
-92563213,-88414049,633149,1,tree,flowering-dogwood,0,8000,315,-1,0,1819765
-92550994,-88410756,633027,1,tree,sweet-chestnut,0,25000,300,-1,0,1819887
-92543553,-88411384,632125,1,tree,wych-elm,0,20000,325,-1,0,1820789
-92500628,-88412078,623465,1,tree,scots-pine,0,25000,523,-1,0,1829449
-92495892,-88414276,621273,1,tree,rowan,0,8000,558,-1,0,1831641
-92492796,-88411100,620955,1,tree,flowering-dogwood,0,8000,550,-1,0,1831959
-92486547,-88410602,617751,1,rock,granite-boulder,0,2400,580,-1,0,1835163
-92475180,-88414571,612729,1,tree,flowering-dogwood,0,8000,671,-1,0,1840185
-92434313,-88413528,594579,1,tree,quaking-aspen,0,18000,586,-1,0,1858335
-92422284,-88414569,595358,1,tree,flowering-dogwood,0,8000,709,-1,0,1904614
-92324776,-88410641,637226,1,tree,sycamore-maple,0,25000,526,-1,0,1768630
-92315305,-88411702,640444,1,tree,american-beech,0,25000,451,-1,0,1765412
-92563497,-88407739,634727,1,tree,field-maple,0,10000,280,-1,0,1818187
-92554843,-88407455,633999,1,tree,rowan,0,8000,273,-1,0,1818915
-92513502,-88407063,628679,1,tree,sycamore-maple,0,25000,417,-1,0,1824235
-92488966,-88407748,619632,1,tree,black-cherry,0,20000,544,-1,0,1833282
-92475997,-88406163,613800,1,tree,flowering-dogwood,0,8000,597,-1,0,1839114
-92471199,-88407465,611324,1,tree,cherry-blossom,0,6500,633,-1,0,1841590
