x_mm,y_mm,z_mm,layer,kind,species,riparian,height_mm,slope_mm_per_m,dist_water_mm,standing_water_mm,treeline_delta_mm
-113256968,-162867248,380569,0,tree,douglas-fir,0,40000,569,210000,0,2966447
-113053599,-162846406,395378,0,tree,tulip-tree,0,35000,200,324000,0,2904580
-113105108,-162800985,393233,0,tree,western-hemlock,0,35000,318,256000,0,2953783
-113265453,-162777946,402829,0,tree,western-hemlock,0,35000,492,120000,0,2944187
-113279786,-163022336,383750,1,tree,crab-apple,0,6000,737,250000,0,2963266
-113260920,-163020084,395534,1,tree,flowering-dogwood,0,8000,381,264000,0,2951482
-113246824,-163021422,396542,1,tree,birch,0,16000,612,276000,0,2903416
-113213458,-163023206,408367,1,tree,european-yew,0,12000,601,304000,0,2891591
-113207240,-163020135,411949,1,tree,flowering-dogwood,0,8000,684,310000,0,2888009
-113160909,-163023081,422898,1,tree,tundra-pine,0,9000,736,352000,0,2877060
-113122967,-163022199,431335,1,tree,sugar-maple,0,25000,469,388000,0,2868623
-113064535,-163024503,417119,1,tree,cherry-blossom,0,6500,446,438000,0,2882839
-113036722,-163024353,402399,1,tree,japanese-maple,0,5000,765,458000,0,2897559
-113253121,-163019957,396335,1,tree,common-ash,0,20000,278,266000,0,2950681
-113248809,-163015996,394279,1,tree,quaking-aspen,0,18000,470,274000,0,2905679
-113232632,-163018743,402893,1,rock,granite-boulder,0,2400,133,288000,0,2897065
-113213350,-163016219,407768,1,tree,field-maple,0,10000,666,300000,0,2892190
-113203388,-163018680,412157,1,tree,crab-apple,0,6000,871,314000,0,2887801
-113162174,-163016186,419048,1,tree,field-maple,0,10000,683,350000,0,2880910
-113107191,-163019551,431002,1,tree,columnar-cypress,0,13000,467,408000,0,2868956
-113061296,-163017276,414909,1,tree,flowering-dogwood,0,8000,322,438000,0,2885049
-113261704,-163014226,394954,1,tree,sweet-chestnut,0,25000,131,260000,0,2952062
-113148271,-163011970,421197,1,rock,karst-breakdown-block,0,2000,658,362000,0,2878761
-113132677,-163012515,424056,1,tree,flowering-dogwood,0,8000,625,378000,0,2875902
-113120669,-163010378,429298,1,tree,common-ash,0,20000,419,390000,0,2870660
-113045687,-163014156,405187,1,tree,flowering-dogwood,0,8000,635,446000,0,2894771
-113036899,-163014243,399961,1,tree,birch,0,16000,610,452000,0,2899997
-113033452,-163014435,398395,1,tree,temperate-oak,0,14000,628,452000,0,2901563
-113027361,-163013146,394852,1,tree,birch,0,16000,639,456000,0,2905106
-113005454,-163011812,390370,1,rock,leaf-littered-slab,0,1900,235,466000,0,2909588
-113122458,-163008083,428395,1,tree,wych-elm,0,20000,504,390000,0,2871563
-113023152,-163009118,392866,1,tree,temperate-oak,0,14000,536,456000,0,2907092
-113015264,-163007669,389561,1,tree,black-cherry,0,20000,326,460000,0,2910397
-113013244,-163008464,389668,1,tree,scots-pine,0,25000,284,460000,0,2910290
-113278888,-163003756,388684,1,tree,flowering-dogwood,0,8000,496,240000,0,2958332
-113272024,-163000858,388416,1,tree,cherry-blossom,0,6500,667,246000,0,2958600
-113133882,-163003935,424112,1,tree,rowan,0,8000,549,374000,0,2875846
-113121591,-163000722,426478,1,tree,hornbeam,0,20000,533,388000,0,2873480
-113105371,-163002673,426941,1,tree,flowering-dogwood,0,8000,538,398000,0,2873017
-113048178,-163001474,405515,1,tree,crab-apple,0,6000,662,430000,0,2894443
-113044006,-163004006,404082,1,tree,crab-apple,0,6000,608,436000,0,2895876
-113033531,-163003946,398403,1,tree,rowan,0,8000,588,440000,0,2901555
-113007530,-163003011,388162,1,tree,cherry-blossom,0,6500,285,460000,0,2911796
-113125948,-162999343,425870,1,tree,quaking-aspen,0,18000,507,382000,0,2874088
