x_mm,y_mm,z_mm,layer,kind,species,riparian,height_mm,slope_mm_per_m,dist_water_mm,standing_water_mm,treeline_delta_mm
-158874659,-80133839,186188,0,tree,siberian-larch,0,30000,67,-1,0,807928
-158705976,-80075992,187017,0,tree,douglas-fir,0,40000,8,-1,0,807099
-158688184,-80033985,187445,0,tree,norway-spruce,0,35000,51,-1,0,806671
-158625165,-80006620,187761,0,tree,western-hemlock,0,35000,15,-1,0,806355
-158836335,-79914061,189289,0,tree,norway-spruce,0,35000,46,-1,0,804827
-158692013,-79872323,189500,0,rock,jointed-granite-tor,0,4000,38,-1,0,804616
-158619735,-79893097,188840,0,rock,corestone-tor,0,4500,18,-1,0,805276
-158849986,-80133680,185970,1,tree,tundra-pine,0,9000,15,-1,0,808146
-158819741,-80130419,187305,1,rock,leaf-littered-slab,0,1900,55,-1,0,806811
-158797712,-80132631,186485,1,tree,birch,0,16000,38,-1,0,807631
-158791265,-80131089,186452,1,tree,birch,0,16000,45,-1,0,807664
-158756440,-80133079,185878,1,tree,scots-pine,0,25000,18,-1,0,808238
-158748609,-80132957,185952,1,rock,leaf-littered-slab,0,1900,11,-1,0,808164
-158729702,-80130137,186024,1,tree,tundra-pine,0,9000,17,-1,0,808092
-158721935,-80132042,185845,1,tree,quaking-aspen,0,18000,19,-1,0,808271
-158718171,-80132613,185777,1,tree,tundra-pine,0,9000,17,-1,0,808339
-158713448,-80130666,185816,1,tree,quaking-aspen,0,18000,21,-1,0,808300
-158702391,-80133356,185840,1,tree,tundra-pine,0,9000,24,-1,0,808276
-158682507,-80132764,186562,1,rock,leaf-littered-slab,0,1900,54,-1,0,807554
-158652308,-80130672,186715,1,tree,tundra-pine,0,9000,51,-1,0,807401
-158643391,-80134328,186198,1,tree,birch,0,16000,40,-1,0,807918
-158637221,-80132335,185911,1,tree,quaking-aspen,0,18000,31,-1,0,808205
-158634531,-80133219,185894,1,tree,tundra-pine,0,9000,21,-1,0,808222
-158615009,-80133161,185843,1,tree,quaking-aspen,0,18000,21,-1,0,808273
-158884883,-80127612,186970,1,tree,tundra-pine,0,9000,33,-1,0,807146
-158856490,-80129478,186119,1,tree,birch,0,16000,50,-1,0,807997
-158853353,-80125028,186151,1,tree,tundra-pine,0,9000,45,-1,0,807965
-158820389,-80126422,187117,1,tree,quaking-aspen,0,18000,47,-1,0,806999
-158804526,-80128876,186978,1,tree,tundra-pine,0,9000,18,-1,0,807138
