x_mm,y_mm,z_mm,layer,kind,species,riparian,height_mm,slope_mm_per_m,dist_water_mm,standing_water_mm,treeline_delta_mm
-100848508,-171230257,106587,0,tree,jungle-emergent,0,28000,53,-1,0,4416879
-100825762,-171222891,106966,0,rock,mossy-forest-boulder,0,4500,10,-1,0,4416500
-100680242,-171111432,103700,0,tree,jungle-emergent,0,28000,52,-1,0,4419766
-100857571,-171301889,103860,1,tree,cecropia,0,15000,32,-1,0,4419606
-100839207,-171303744,103974,1,rock,karst-breakdown-block,0,2000,8,-1,0,4419492
-100829434,-171301653,103789,1,tree,coast-palm,0,10000,12,-1,0,4419677
-100805238,-171300329,104138,1,rock,leaf-littered-slab,0,1900,54,-1,0,4419328
-100802987,-171301334,103979,1,tree,cecropia,0,15000,55,-1,0,4419487
-100778277,-171300637,104623,1,rock,leaf-littered-slab,0,1900,88,-1,0,4418843
-100759539,-171303541,105480,1,tree,coast-palm,0,10000,71,-1,0,4417986
-100691174,-171301835,104864,1,tree,cecropia,0,15000,16,-1,0,4418602
-100641853,-171303038,106231,1,rock,leaf-littered-slab,0,1900,14,-1,0,4417235
-100625995,-171303061,105950,1,tree,coast-palm,0,10000,22,-1,0,4417516
-100620551,-171301754,106068,1,tree,cecropia,0,15000,11,-1,0,4417398
-100610148,-171304919,106066,1,tree,strangler-fig,0,25000,34,-1,0,4417400
-100861330,-171296466,103998,1,tree,cecropia,0,15000,65,-1,0,4419468
-100846490,-171299176,103873,1,tree,cecropia,0,15000,24,-1,0,4419593
-100831216,-171296811,104088,1,rock,karst-breakdown-block,0,2000,14,-1,0,4419378
-100828733,-171298888,104008,1,tree,coast-palm,0,10000,14,-1,0,4419458
-100817323,-171295678,104196,1,tree,coast-palm,0,10000,37,-1,0,4419270
-100762091,-171296621,105481,1,rock,laterite-crust-block,0,1000,64,-1,0,4417985
-100741309,-171297420,105663,1,tree,cecropia,0,15000,8,-1,0,4417803
-100729205,-171295496,105596,1,rock,leaf-littered-slab,0,1900,54,-1,0,4417870
-100717304,-171299798,105215,1,tree,coast-palm,0,10000,75,-1,0,4418251
-100689702,-171297397,104923,1,rock,laterite-crust-block,0,1000,19,-1,0,4418543
-100633683,-171297094,106170,1,tree,cecropia,0,15000,15,-1,0,4417296
-100821172,-171292086,104203,1,rock,laterite-crust-block,0,1000,39,-1,0,4419263
-100819942,-171290444,104324,1,rock,laterite-crust-block,0,1000,46,-1,0,4419142
-100747384,-171292755,105880,1,tree,coast-palm,0,10000,15,-1,0,4417586
-100707534,-171293070,104821,1,tree,cecropia,0,15000,35,-1,0,4418645
-100701556,-171294459,104776,1,tree,cecropia,0,15000,21,-1,0,4418690
-100696526,-171291727,104669,1,rock,karst-breakdown-block,0,2000,12,-1,0,4418797
-100683353,-171293774,104954,1,rock,leaf-littered-slab,0,1900,25,-1,0,4418512
-100636361,-171293743,106168,1,rock,laterite-crust-block,0,1000,26,-1,0,4417298
