x_mm,y_mm,z_mm,layer,kind,species,riparian,height_mm,slope_mm_per_m,dist_water_mm,standing_water_mm,treeline_delta_mm
-67665537,-158648055,172435,0,rock,termite-mound,0,2800,186,-1,0,4680437
-67689743,-158883597,195903,1,tree,mopane,0,10000,186,-1,0,4656969
-67609705,-158880645,196030,1,rock,laterite-crust-block,0,1000,192,-1,0,4656842
-67583097,-158881835,195168,1,tree,olive,0,8000,91,-1,0,4657704
-67564636,-158883355,196123,1,rock,laterite-crust-block,0,1000,120,-1,0,4656749
-67549491,-158884810,196953,1,tree,mopane,0,10000,105,-1,0,4655919
-67533909,-158881915,198158,1,tree,mopane,0,10000,129,-1,0,4654714
-67490238,-158884994,204458,1,tree,olive,0,8000,180,-1,0,4648414
-67487386,-158883325,204649,1,tree,desert-ironwood,0,8000,177,-1,0,4648223
-67480137,-158880364,205291,1,tree,stone-pine,0,18000,182,-1,0,4647581
-67479506,-158884629,205708,1,tree,mopane,0,10000,186,-1,0,4647164
-67470372,-158883101,207223,1,tree,marula,0,10000,220,-1,0,4645649
-67459633,-158883654,209348,1,tree,wild-pear,0,8000,253,-1,0,4643524
-67450711,-158882573,211602,1,tree,desert-ironwood,0,8000,306,-1,0,4641270
-67442701,-158883921,213578,1,tree,mopane,0,10000,331,-1,0,4639294
-67439048,-158881745,214886,1,rock,laterite-crust-block,0,1000,346,-1,0,4637986
-67661450,-158875302,198074,1,tree,mopane,0,10000,119,-1,0,4654798
-67650527,-158879458,197816,1,tree,olive,0,8000,92,-1,0,4655056
-67649680,-158878475,197547,1,rock,tafoni-sandstone,0,3600,97,-1,0,4655325
-67643536,-158878438,197351,1,tree,holm-oak,0,12000,112,-1,0,4655521
-67621499,-158878227,196659,1,tree,savanna-acacia,0,8000,182,-1,0,4656213
-67616071,-158878352,196224,1,rock,tafoni-sandstone,0,3600,195,-1,0,4656648
-67585005,-158878784,194955,1,tree,mopane,0,10000,86,-1,0,4657917
-67559922,-158875230,196091,1,tree,savanna-acacia,0,8000,104,-1,0,4656781
-67523835,-158875095,199300,1,tree,mopane,0,10000,126,-1,0,4653572
-67510047,-158879414,202086,1,tree,mopane,0,10000,173,-1,0,4650786
-67501502,-158878936,202768,1,rock,laterite-crust-block,0,1000,177,-1,0,4650104
-67497974,-158878825,203150,1,tree,olive,0,8000,175,-1,0,4649722
-67475777,-158876289,205634,1,tree,mopane,0,10000,190,-1,0,4647238
